UserID,Daily_Logins,Failed_Password_Attempts,Session_Duration_Min,Data_Download_MB,Off_Hours_Activity_Pct,Unique_IP_Count
USER-6143,4,0,44.7,24.8,11.3,1
USER-6144,2,0,42.3,22.5,2.7,3
USER-6145,1,0,28.7,64.7,10.8,1
USER-6146,1,0,16.8,44.7,9.5,1
USER-6147,2,0,42.9,41.5,6.4,1
USER-6148,4,0,45.0,40.6,6.4,1
USER-6149,1,0,23.1,64.7,8.2,1
USER-6150,4,0,29.7,15.1,12.9,1
USER-6151,5,0,12.1,50.6,16.0,1
USER-6152,3,0,30.5,38.5,5.8,2
USER-6153,5,0,36.2,15.5,7.1,1
USER-6154,58,29,1.1,8.0,74.0,10
USER-6155,3,0,33.1,52.6,8.2,1
USER-6156,4,0,15.2,49.2,4.8,1
USER-6157,6,0,47.2,34.7,7.7,3
USER-6158,4,2,31.6,36.5,6.4,1
USER-6159,3,0,32.0,45.2,5.1,3
USER-6160,4,0,46.9,52.5,17.2,1
USER-6161,1,0,32.8,63.1,6.7,1
USER-6162,3,0,9.1,57.9,4.8,1
USER-6163,1,0,36.8,30.1,7.9,1
USER-6164,5,0,33.4,27.1,7.8,1
USER-6165,3,0,52.1,31.9,0.0,1
USER-6166,2,0,45.4,21.0,6.4,2
USER-6167,7,0,28.9,49.1,11.2,1
USER-6168,4,0,27.5,46.3,14.9,1
USER-6169,3,0,36.8,33.0,13.2,1
USER-6170,5,0,28.4,38.2,6.3,1
USER-6171,5,0,42.2,54.1,13.2,1
USER-6172,3,0,32.5,54.6,12.9,1
USER-6173,3,1,44.3,66.8,15.2,1
USER-6174,4,0,45.7,53.4,7.2,1
USER-6175,2,0,15.3,53.7,8.6,1
USER-6176,3,1,32.2,24.9,11.7,2
USER-6177,3,0,37.8,63.2,7.4,1
USER-6178,4,0,46.7,49.9,8.1,2
USER-6179,4,0,28.5,45.5,2.0,2
USER-6180,4,0,52.0,16.5,8.3,1
USER-6181,5,0,38.8,35.7,9.9,1
USER-6182,3,0,26.5,48.9,2.4,1
USER-6183,2,0,39.4,49.2,13.8,1
USER-6184,2,1,41.5,23.3,3.6,1
USER-6185,5,2,31.3,32.7,0.0,1
USER-6186,4,0,44.3,70.2,5.0,1
USER-6187,1,0,47.6,47.7,4.7,1
USER-6188,3,0,36.8,72.9,15.5,1
USER-6189,5,0,40.9,44.9,13.2,1
USER-6190,3,0,30.5,59.2,10.7,1
USER-6191,2,0,33.1,32.4,7.5,1
USER-6192,6,2,41.3,47.8,10.3,1
USER-6193,5,0,40.8,62.2,6.8,1
USER-6194,6,0,50.4,23.8,3.3,1
USER-6195,4,0,17.3,60.5,7.2,2
USER-6196,4,0,29.7,28.3,7.8,1
USER-6197,3,0,52.7,58.5,11.1,1
USER-6198,2,0,38.0,50.3,8.5,1
USER-6199,3,0,33.0,50.3,7.1,1
USER-6200,5,0,27.0,37.1,7.9,1
USER-6201,1,0,43.8,48.7,8.3,1
USER-6202,1,0,29.7,28.3,10.3,1
USER-6203,4,0,34.6,32.9,6.7,1
USER-6204,2,0,26.9,60.3,18.7,1
USER-6205,4,0,41.9,50.7,15.2,1
USER-6206,2,0,5.8,38.3,16.0,1
USER-6207,4,0,55.6,66.0,8.2,1
USER-6208,3,0,27.0,62.4,4.9,1
USER-6209,4,0,32.5,39.6,10.0,1
USER-6210,5,0,34.2,30.4,8.0,1
USER-6211,3,0,46.5,17.5,8.8,1
USER-6212,6,0,45.8,56.5,7.2,1
USER-6213,4,0,26.5,57.5,6.3,2
USER-6214,3,0,31.0,49.5,11.0,1
USER-6215,7,0,24.3,47.9,9.0,1
USER-6216,3,2,39.5,62.2,13.7,1
USER-6217,3,0,44.9,45.5,6.9,1
USER-6218,4,0,38.3,32.9,10.4,2
USER-6219,4,0,48.2,40.4,0.2,2
USER-6220,1,0,28.9,37.5,12.0,1
USER-6221,5,0,40.5,36.5,6.4,1
USER-6222,6,0,31.8,22.2,13.0,2
USER-6223,4,0,34.8,50.6,4.8,1
USER-6224,3,0,37.0,39.0,10.1,2
USER-6225,5,0,21.5,16.0,8.5,1
USER-6226,295,2,1.2,561.4,51.6,43
USER-6227,5,0,38.5,39.3,3.4,1
USER-6228,3,0,21.8,64.6,6.5,1
USER-6229,3,0,32.0,53.1,11.5,2
USER-6230,4,0,36.5,53.5,16.9,1
USER-6231,1,0,32.4,43.2,7.1,1
USER-6232,1,0,40.3,54.8,14.1,1
USER-6233,2,2,22.3,53.4,17.0,2
USER-6234,3,0,18.1,50.3,13.6,1
USER-6235,2,0,27.8,47.7,14.8,1
USER-6236,3,1,37.4,28.2,7.6,1
USER-6237,3,1,31.4,66.5,6.9,1
USER-6238,2,0,38.9,31.6,4.3,1
USER-6239,5,0,32.8,46.6,6.1,2
USER-6240,183,4,0.6,392.8,49.8,36
USER-6241,51,24,2.4,13.0,61.7,22
USER-6242,3,0,42.8,23.2,6.7,1
USER-6243,3,0,43.5,60.6,8.3,1
USER-6244,3,1,29.1,39.5,3.5,1
USER-6245,4,0,42.7,27.0,12.1,1
USER-6246,5,0,40.4,39.3,10.3,1
USER-6247,50,19,0.9,6.9,86.3,9
USER-6248,3,0,405.0,4182.4,89.4,2
USER-6249,4,0,44.1,40.5,6.7,1
USER-6250,4,0,51.9,49.8,15.6,1
USER-6251,3,1,27.3,36.4,10.5,1
USER-6252,5,0,31.6,46.2,4.8,2
USER-6253,1,0,39.6,77.9,2.5,1
USER-6254,3,0,31.5,26.0,8.2,1
USER-6255,3,0,39.3,64.1,6.0,1
USER-6256,5,0,36.1,30.9,8.6,1
USER-6257,4,0,39.2,43.3,7.4,2
USER-6258,1,0,20.5,44.4,3.3,1
USER-6259,3,0,45.7,5.6,3.1,3
USER-6260,2,0,35.9,44.7,9.6,1
USER-6261,66,30,2.0,5.2,69.1,11
USER-6262,3,0,30.3,45.9,10.0,1
USER-6263,2,0,37.4,41.9,17.3,1
USER-6264,5,0,54.6,38.3,2.9,1
USER-6265,7,0,20.0,49.0,15.1,2
USER-6266,4,0,31.1,35.0,11.5,2
USER-6267,4,0,34.7,48.8,12.2,1
USER-6268,2,0,28.5,48.6,0.0,1
USER-6269,5,2,37.2,62.9,6.7,1
USER-6270,4,0,35.9,62.5,7.2,2
USER-6271,4,0,5.6,74.4,7.0,1
USER-6272,2,0,39.1,62.2,5.9,1
USER-6273,5,0,40.1,52.7,10.9,1
USER-6274,5,0,42.5,53.8,9.8,1
USER-6275,3,0,26.2,20.4,1.5,1
USER-6276,2,0,31.9,45.5,10.4,1
USER-6277,4,0,26.8,42.3,8.3,1
USER-6278,1,0,27.4,58.1,5.5,2
USER-6279,5,0,33.1,21.9,7.5,1
USER-6280,4,0,37.8,32.2,9.3,2
USER-6281,1,0,36.8,35.3,8.8,1
USER-6282,5,0,25.3,48.5,13.5,1
USER-6283,4,0,29.9,17.5,7.9,1
USER-6284,3,0,36.5,35.6,8.1,1
USER-6285,3,0,36.6,32.1,12.5,1
USER-6286,1,0,26.8,60.4,5.3,2
USER-6287,5,0,33.6,44.0,15.9,1
USER-6288,6,0,44.3,52.8,4.7,1
USER-6289,4,0,37.0,48.0,6.9,1
USER-6290,3,1,30.5,2.5,8.1,1
USER-6291,3,0,22.8,63.5,6.7,2
USER-6292,4,0,23.6,40.9,9.5,1
USER-6293,1,0,43.2,64.1,11.2,1
USER-6294,2,0,51.4,47.9,7.4,1
USER-6295,3,0,33.4,18.8,8.5,2
USER-6296,3,0,25.1,56.7,0.0,1
USER-6297,3,1,32.4,75.3,8.9,1
USER-6298,5,0,42.2,41.4,8.8,1
USER-6299,4,0,50.5,59.8,2.6,3
USER-6300,4,0,37.4,10.9,4.3,1
USER-6301,3,0,18.6,34.6,7.8,2
USER-6302,4,1,37.3,41.9,5.4,1
USER-6303,3,0,31.8,50.9,13.7,1
USER-6304,4,0,46.4,27.4,11.4,1
USER-6305,3,0,321.0,7285.9,91.2,1
USER-6306,2,0,55.9,45.6,10.3,1
USER-6307,7,0,35.1,57.6,5.5,1
USER-6308,1,0,50.3,42.0,3.1,1
USER-6309,3,1,40.9,45.7,9.3,1
USER-6310,7,0,21.4,47.4,8.2,1
USER-6311,4,0,35.2,43.7,3.0,1
USER-6312,5,0,22.1,48.5,3.2,1
USER-6313,4,0,430.6,6598.7,81.3,2
USER-6314,3,0,39.7,35.9,11.0,1
USER-6315,5,0,32.8,97.4,2.1,1
USER-6316,2,0,37.4,43.7,5.3,1
USER-6317,5,0,15.8,32.9,11.0,2
USER-6318,4,0,26.4,70.3,5.9,1
USER-6319,1,0,27.4,41.7,3.6,2
USER-6320,3,0,46.0,23.7,8.9,1
USER-6321,5,0,18.7,24.3,13.5,1
USER-6322,3,0,45.3,58.5,11.0,1
USER-6323,4,0,48.1,42.5,10.7,1
USER-6324,25,20,2.3,1.8,94.1,11
USER-6325,2,0,24.1,63.3,11.3,2
USER-6326,1,0,28.2,58.0,10.3,1
USER-6327,5,0,32.5,66.9,1.1,1
USER-6328,4,0,26.9,52.2,5.7,1
USER-6329,4,0,20.0,59.6,11.2,1
USER-6330,6,0,66.1,61.2,12.0,1
USER-6331,4,0,40.0,38.7,10.7,2
USER-6332,3,0,24.0,60.9,11.8,1
USER-6333,3,0,41.7,51.8,5.9,1
USER-6334,3,0,34.3,44.1,9.8,1
USER-6335,5,0,40.8,72.3,8.2,2
USER-6336,4,0,29.7,30.1,6.9,2
USER-6337,3,0,26.4,50.6,11.2,1
USER-6338,5,0,21.3,46.0,5.4,1
USER-6339,2,0,21.5,63.3,4.5,1
USER-6340,3,0,17.9,38.5,7.3,1
USER-6341,4,0,40.0,27.2,10.1,1
USER-6342,3,0,37.6,37.4,1.3,3
USER-6343,4,0,27.4,67.7,5.5,1
USER-6344,1,0,25.7,32.6,5.3,1
USER-6345,2,0,25.0,46.3,9.6,1
USER-6346,3,0,32.3,67.5,13.0,1
USER-6347,5,0,23.5,21.4,11.7,1
USER-6348,5,1,37.7,41.8,9.1,1
USER-6349,5,0,46.7,45.7,7.0,1
USER-6350,4,0,34.4,39.2,9.7,1
USER-6351,3,0,33.3,49.7,8.8,1
USER-6352,3,0,18.9,45.2,7.7,1
USER-6353,2,0,41.9,50.4,10.3,1
USER-6354,2,0,28.1,70.6,6.8,1
USER-6355,3,1,37.4,51.1,9.8,2
USER-6356,4,0,42.4,66.3,10.7,1
USER-6357,2,0,35.4,47.3,11.1,1
USER-6358,72,32,3.5,1.5,87.6,14
USER-6359,4,0,43.9,93.9,7.8,1
USER-6360,3,0,49.0,52.0,13.4,1
USER-6361,1,0,51.3,59.7,4.0,1
USER-6362,5,0,33.4,67.3,8.3,2
USER-6363,5,0,44.6,65.4,7.0,1
USER-6364,238,3,0.6,341.5,81.4,42
USER-6365,4,1,32.5,27.8,2.5,1
USER-6366,173,2,1.4,231.1,81.4,27
USER-6367,6,1,36.1,37.4,0.0,1
USER-6368,1,0,24.3,41.7,0.0,1
USER-6369,4,0,39.1,34.9,11.9,1
USER-6370,2,0,17.2,61.8,15.3,1
USER-6371,2,0,24.8,32.8,4.4,1
USER-6372,4,2,50.6,67.5,6.0,2
USER-6373,2,0,52.2,35.7,3.8,1
USER-6374,3,1,35.6,44.4,15.7,2
USER-6375,4,0,34.6,49.4,6.3,1
USER-6376,4,0,48.3,31.4,14.8,2
USER-6377,5,1,25.6,58.7,12.3,1
USER-6378,5,0,34.0,39.2,5.3,1
USER-6379,5,0,35.4,40.1,8.0,1
USER-6380,2,0,28.3,24.9,7.7,1
USER-6381,4,2,46.8,56.8,0.0,3
USER-6382,3,0,29.3,55.6,14.0,1
USER-6383,1,0,21.0,53.7,7.2,1
USER-6384,4,0,38.1,33.6,9.0,1
USER-6385,4,0,29.2,63.1,19.0,1
USER-6386,5,0,42.7,55.0,4.3,1
USER-6387,2,0,48.1,37.7,5.2,1
USER-6388,6,0,31.4,68.8,9.0,1
USER-6389,6,0,28.4,26.2,9.4,1
USER-6390,3,0,452.4,4795.9,75.6,1
USER-6391,2,0,50.2,61.6,10.4,1
USER-6392,2,1,43.9,23.7,12.4,1
USER-6393,4,0,25.5,22.1,10.5,1
USER-6394,4,0,41.3,30.8,13.7,1
USER-6395,4,0,19.4,26.5,12.7,2
USER-6396,3,1,42.3,38.0,10.6,1
USER-6397,5,0,41.1,43.5,6.0,1
USER-6398,3,0,33.7,17.8,10.6,1
USER-6399,4,0,48.3,61.1,16.1,1
USER-6400,4,0,45.5,71.5,6.0,1
USER-6401,4,1,21.0,41.9,10.2,1
USER-6402,4,0,43.9,44.0,5.4,1
USER-6403,2,1,49.8,45.0,2.9,1
USER-6404,5,0,48.4,51.1,3.9,1
USER-6405,4,0,26.2,59.3,9.9,1
USER-6406,6,0,43.5,30.3,20.2,1
USER-6407,4,0,23.5,47.3,11.1,1
USER-6408,3,0,33.5,32.9,7.4,1
USER-6409,2,0,41.2,42.5,8.8,1
USER-6410,5,2,28.7,49.3,8.3,1
USER-6411,298,1,0.6,374.2,59.8,38
USER-6412,5,0,205.5,4006.4,72.1,1
USER-6413,3,0,19.5,19.5,6.1,1
USER-6414,2,0,24.6,39.3,5.7,1
USER-6415,3,0,36.8,39.3,9.3,1
USER-6416,3,0,26.5,65.3,9.1,1
USER-6417,4,0,61.9,23.6,11.1,1
USER-6418,3,0,26.7,27.2,0.0,1
USER-6419,6,0,43.1,38.8,11.2,1
USER-6420,3,0,43.5,70.5,7.7,1
USER-6421,5,0,34.4,40.9,12.2,1
USER-6422,6,0,32.3,48.9,3.0,1
USER-6423,7,0,33.4,13.5,11.5,1
USER-6424,4,0,24.0,31.4,5.1,1
USER-6425,3,1,43.3,46.0,9.8,1
USER-6426,5,0,29.9,46.7,4.6,2
USER-6427,3,0,39.8,34.8,5.3,2
USER-6428,2,0,26.1,49.4,9.5,1
USER-6429,3,0,39.6,34.3,7.0,1
USER-6430,2,0,28.3,44.0,11.6,1
USER-6431,3,0,39.6,74.1,2.4,3
USER-6432,3,0,48.9,36.0,3.6,1
USER-6433,5,0,37.2,35.2,8.0,1
USER-6434,1,0,52.2,21.7,6.8,1
USER-6435,3,0,38.3,32.8,5.8,1
USER-6436,3,0,47.6,49.9,6.2,1
USER-6437,5,1,53.5,35.4,7.3,1
USER-6438,4,0,48.0,34.5,3.2,1
USER-6439,4,1,37.5,55.4,2.2,1
USER-6440,5,1,30.4,50.0,10.1,1
USER-6441,198,2,1.0,417.2,57.3,30
USER-6442,3,0,43.8,57.8,6.2,1
USER-6443,4,2,37.3,43.9,10.8,1
USER-6444,3,0,28.6,31.8,3.0,1
USER-6445,235,1,0.8,464.8,77.6,41
USER-6446,2,0,268.3,2246.2,98.2,3
USER-6447,5,0,33.9,55.9,9.8,1
USER-6448,2,0,45.1,42.8,4.2,1
USER-6449,4,0,41.2,38.8,9.6,1
USER-6450,4,1,27.7,51.2,5.4,1
USER-6451,1,0,48.7,45.6,7.0,1
USER-6452,4,0,45.8,65.9,0.0,2
USER-6453,3,0,31.9,34.0,7.0,1
USER-6454,4,0,32.8,58.3,14.1,2
USER-6455,4,0,31.8,50.9,14.4,1
USER-6456,6,0,31.4,34.5,11.0,1
USER-6457,1,2,36.3,28.9,8.9,1
USER-6458,4,0,39.4,47.1,8.8,1
USER-6459,4,0,28.7,38.4,12.2,2
USER-6460,2,0,37.7,67.4,9.7,1
USER-6461,2,0,28.4,37.0,8.9,1
USER-6462,4,0,36.5,56.5,3.0,1
USER-6463,4,0,32.9,34.2,5.0,1
USER-6464,335,3,0.2,341.9,67.5,29
USER-6465,4,0,39.3,24.4,5.2,1
USER-6466,2,0,17.1,36.7,8.8,1
USER-6467,3,0,31.5,43.6,5.9,1
USER-6468,4,0,45.2,71.3,8.1,2
USER-6469,71,11,2.1,6.3,71.1,12
USER-6470,3,0,29.0,37.7,13.4,1
USER-6471,2,0,429.9,5011.9,95.3,2
USER-6472,5,0,32.9,44.2,12.9,1
USER-6473,5,0,17.4,43.6,9.7,1
USER-6474,5,0,23.2,43.1,10.3,1
USER-6475,224,4,1.5,276.5,63.0,30
USER-6476,2,0,28.8,42.1,11.8,1
USER-6477,4,0,24.4,54.8,11.5,1
USER-6478,2,0,185.0,5801.2,88.1,1
USER-6479,3,0,29.9,42.9,11.0,1
USER-6480,4,0,29.8,46.1,6.4,1
USER-6481,2,0,45.0,19.0,14.0,3
USER-6482,1,0,38.4,52.1,6.9,1
USER-6483,3,0,35.7,51.5,9.9,1
USER-6484,4,1,29.5,43.3,4.4,1
USER-6485,5,0,27.2,2.0,6.5,1
USER-6486,5,0,11.3,64.9,9.3,1
USER-6487,3,0,33.3,27.7,1.0,1
USER-6488,70,24,1.7,12.2,68.6,24
USER-6489,2,0,22.7,57.9,9.4,1
USER-6490,4,0,23.7,46.9,6.5,1
USER-6491,4,0,5.5,38.1,3.9,1
USER-6492,7,2,36.2,39.5,14.0,1
USER-6493,6,0,46.1,43.2,8.1,1
USER-6494,3,0,31.1,53.3,17.7,1
USER-6495,2,0,5.0,62.7,10.5,1
USER-6496,4,0,60.0,37.2,6.9,3
USER-6497,5,0,34.4,63.6,13.2,1
USER-6498,2,0,361.8,7021.4,71.3,3
USER-6499,2,0,358.2,4173.9,73.8,1
USER-6500,5,0,39.8,67.9,7.6,1
USER-6501,3,0,52.9,38.7,13.0,2
USER-6502,2,0,38.2,55.8,0.0,2
USER-6503,4,0,31.7,47.0,7.5,3
USER-6504,5,2,42.0,21.1,11.5,2
USER-6505,5,0,53.4,41.5,8.6,2
USER-6506,2,0,31.2,46.3,7.1,2
USER-6507,4,1,32.6,43.7,0.0,1
USER-6508,212,3,1.2,247.3,40.0,39
USER-6509,2,0,27.4,62.6,8.5,2
USER-6510,4,0,62.7,12.7,11.5,1
USER-6511,1,0,29.0,35.6,6.8,1
USER-6512,3,0,37.7,64.2,9.4,1
USER-6513,2,0,18.7,27.7,12.5,1
USER-6514,2,0,38.3,61.5,12.2,1
USER-6515,3,0,45.8,27.3,9.8,1
USER-6516,3,0,17.6,39.6,9.7,1
USER-6517,7,0,28.6,47.9,4.4,1
USER-6518,2,0,268.7,7561.5,85.7,1
USER-6519,6,0,18.9,28.4,8.5,2
USER-6520,2,1,46.6,70.9,8.9,2
USER-6521,4,0,36.9,30.3,2.2,1
USER-6522,31,24,3.9,6.3,62.2,13
USER-6523,2,0,35.2,27.7,1.3,1
USER-6524,3,0,44.6,34.4,15.8,1
USER-6525,4,1,40.1,43.8,3.2,1
USER-6526,1,0,49.9,40.8,4.1,1
USER-6527,2,0,41.8,77.5,12.8,2
USER-6528,1,0,44.2,32.8,8.3,1
USER-6529,3,0,43.0,43.9,7.7,1
USER-6530,2,1,36.7,52.6,14.0,2
USER-6531,3,0,417.4,7452.6,80.8,1
USER-6532,336,1,1.3,588.4,48.9,40
USER-6533,3,0,30.1,55.2,8.5,1
USER-6534,6,1,34.2,34.9,6.4,1
USER-6535,207,1,0.9,561.0,59.2,22
USER-6536,3,0,34.2,49.9,12.8,1
USER-6537,4,0,48.8,63.6,10.3,1
USER-6538,4,0,34.0,24.8,10.0,1
USER-6539,2,0,37.9,66.0,10.2,1
USER-6540,4,0,292.1,5564.6,70.4,1
USER-6541,2,0,43.1,60.5,6.7,2
USER-6542,3,0,40.8,41.5,8.0,1
USER-6543,5,2,62.5,35.3,4.8,1
USER-6544,1,0,48.5,27.7,17.0,1
USER-6545,4,0,42.4,61.6,11.7,1
USER-6546,5,0,23.0,42.6,6.3,1
USER-6547,6,0,24.9,52.9,8.2,1
USER-6548,2,0,34.6,26.1,10.0,1
USER-6549,3,0,27.5,75.2,4.0,1
USER-6550,3,0,44.1,79.6,7.3,1
USER-6551,3,0,35.4,35.9,11.3,1
USER-6552,4,0,12.1,49.6,11.1,1
USER-6553,5,0,50.4,47.5,5.8,1
USER-6554,4,0,51.3,41.3,4.0,1
USER-6555,5,0,25.8,54.8,8.5,1
USER-6556,5,0,22.8,29.1,5.1,1
USER-6557,3,0,42.2,45.7,7.6,1
USER-6558,3,0,50.2,28.5,8.2,1
USER-6559,4,0,32.4,31.1,10.3,1
USER-6560,5,0,33.3,40.9,5.6,1
USER-6561,4,0,24.7,31.7,6.7,1
USER-6562,1,0,43.5,48.4,4.1,1
USER-6563,5,0,39.8,29.5,4.6,1
USER-6564,3,0,31.0,28.2,0.0,1
USER-6565,2,0,36.4,53.4,4.8,1
USER-6566,4,0,51.6,63.5,1.4,1
USER-6567,3,0,42.9,32.0,3.2,1
USER-6568,5,0,47.6,45.9,8.3,1
USER-6569,2,0,41.7,23.9,12.3,1
USER-6570,3,0,21.4,75.2,8.5,2
USER-6571,5,0,39.8,21.9,2.4,2
USER-6572,3,0,33.3,43.9,9.9,1
USER-6573,2,0,48.8,35.3,3.9,1
USER-6574,5,0,35.5,52.3,10.1,1
USER-6575,314,1,1.4,350.7,57.0,17
